School Year,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Borough Name,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
2013-14,K001,15K001,P.S. 001 The Bergen,K001,309 47 STREET,K,15,"1,277",,1,P.S. 001 The Bergen,0,2,1,1,0,7C,1251-1500,0.86,3.26,5.55,2.17,1.29,BROOKLYN ,11220,40.649042,-74.012289,7,38,80,3011821,3007550022,Sunset Park West                                                           
2013-14,K002,17K002,Parkside Preparatory Academy,K002,655 PARKSIDE AVENUE,K,17,479,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11226,40.656183,-73.951583,9,40,802,3378201,3050500051,Prospect Lefferts Gardens-Wingate                                          
2013-14,K002,75K141,P.S. K141,K141,655 PARKSIDE AVENUE,K,17,397,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11226,40.656183,-73.951583,9,40,802,3378201,3050500051,Prospect Lefferts Gardens-Wingate                                          
2013-14,K002,84K704      ,Explore Charter School,K704,655 PARKSIDE AVENUE,K,17,,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11226,40.656183,-73.951583,9,40,802,3378201,3050500051,Prospect Lefferts Gardens-Wingate                                          
2013-14,K002,,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,,655 PARKSIDE AVENUE,K,17,876,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,1,5,2,2,4,5C,751-1000,0.52,1.71,2.49,1.16,0.75,BROOKLYN ,11226,40.656183,-73.951583,9,40,802,3378201,3050500051,Prospect Lefferts Gardens-Wingate                                          
2013-14,K003,13K003,P.S. 003 The Bedford Village,K003,50 JEFFERSON AVENUE,K,13,513,,1,P.S. 003 The Bedford Village,2,0,0,2,0,4C,501-750,0.33,1.32,1.76,0.83,0.59,BROOKLYN ,11216,40.682663,-73.955338,3,36,227,3057406,3019980001,Clinton Hill                                                               
2013-14,K005,16K005,P.S. 005 Dr. Ronald Mcnair,K005,820 HANCOCK STREET,K,16,312,,1,P.S. 005 Dr. Ronald Mcnair,1,1,0,2,0,3C,251-500,0.35,1.06,1.09,0.73,0.5,BROOKLYN ,11233,40.685695,-73.922463,3,41,377,3039906,3014900001,Stuyvesant Heights                                                         
2013-14,K006,17K006,P.S. 006,K006,43 SNYDER AVENUE,K,17,714,,1,P.S. 006,0,1,2,0,0,4C,501-750,0.33,1.32,1.76,0.83,0.59,BROOKLYN ,11226,40.64859,-73.957138,14,40,794,3117230,3051030079,Erasmus                                                                    
2013-14,K007,19K007,P.S. 007 Abraham Lincoln,K007,858 JAMAICA AVENUE,K,19,"1,073",,1,P.S. 007 Abraham Lincoln,0,1,0,0,0,6C,1001-1250,0.56,2.4,3.56,1.36,1.05,BROOKLYN ,11208,40.689697,-73.873109,5,37,118201,3090998,3041060039,Cypress Hills-City Line                                                    
2013-14,K008,13K008,P.S. 008 Robert Fulton,K008,37 HICKS STREET,K,13,848,,1,P.S. 008 Robert Fulton,0,0,0,0,0,5C,751-1000,0.52,1.71,2.49,1.16,0.75,BROOKLYN ,11201,40.70071,-73.993241,2,33,1,3001540,3002110001,Brooklyn Heights-Cobble Hill                                               
2013-14,K009,13K009,P.S. 009 Teunis G. Bergen,K009,80 UNDERHILL AVENUE,K,13,722,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,2,P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11238,40.678297,-73.965541,8,35,205,3028204,3011450026,Prospect Heights                                                           
2013-14,K009,84K780      ,Brooklyn East Collegiate Charter School,K780,80 UNDERHILL AVENUE,K,13,,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,2,P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11238,40.678297,-73.965541,8,35,205,3028204,3011450026,Prospect Heights                                                           
2013-14,K009,,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,,80 UNDERHILL AVENUE,K,13,722,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,2,P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION,0,1,1,1,0,4C,501-750,0.33,1.32,1.76,0.83,0.59,BROOKLYN ,11238,40.678297,-73.965541,8,35,205,3028204,3011450026,Prospect Heights                                                           
2013-14,K010,15K010,"Magnet School of Math, Science and Design Technolo",K010,511 7 AVENUE,K,15,921,,1,"Magnet School of Math, Science and Design Technolo",0,1,0,0,1,5C,751-1000,0.52,1.71,2.49,1.16,0.75,BROOKLYN ,11215,40.661061,-73.986534,7,38,149,3016509,3008690001,Park Slope-Gowanus                                                         
2013-14,K011,13K011,P.S. 011 Purvis J. Behan,K011,419 WAVERLY AVENUE,K,13,732,,1,P.S. 011 Purvis J. Behan,1,0,1,1,0,4C,501-750,0.33,1.32,1.76,0.83,0.59,BROOKLYN ,11238,40.685491,-73.966291,2,35,199,3332865,3019620010,Clinton Hill                                                               
2013-14,K012,17K484,Ronald Edmonds Learning Center II,K484,430 HOWARD AVENUE,K,23,146,430 HOWARD AVENUE CONSOLIDATED LOCATION,2,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11233,40.673073,-73.919594,16,41,363,3039174,3014570032,Ocean Hill                                                                 
2013-14,K107,15K107,P.S. 107 John W. Kimball,K107,1301 8 AVENUE,K,15,578,,1,P.S. 107 John W. Kimball,0,1,0,1,0,4C,501-750,0.33,1.32,1.76,0.83,0.59,BROOKLYN ,11215,40.663251,-73.981289,6,39,167,3026517,3011010001,Park Slope-Gowanus                                                         
2013-14,K012,17K012,Dr. Jacqueline Peek-Davis School,K012,430 HOWARD AVENUE,K,23,211,430 HOWARD AVENUE CONSOLIDATED LOCATION,2,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11233,40.673073,-73.919594,16,41,363,3039174,3014570032,Ocean Hill                                                                 
2013-14,K012,,430 HOWARD AVENUE CONSOLIDATED LOCATION,,430 HOWARD AVENUE,K,23,357,430 HOWARD AVENUE CONSOLIDATED LOCATION,2,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,2,3,3,5,0,3C,251-500,0.35,1.06,1.09,0.73,0.5,BROOKLYN ,11233,40.673073,-73.919594,16,41,363,3039174,3014570032,Ocean Hill                                                                 
2013-14,K013,19K013,P.S. 013 Roberto Clemente,K013,557 PENNSYLVANIA AVENUE,K,19,494,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,2,P.S. 013 Roberto Clemente| Achievement First East New York Charter School| 557 PENNSYLVANIA AVENUE CONDOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,#N/A,#N/A,#N/A,#N/A,#N/A,BROOKLYN ,11207,40.663673,-73.893754,5,42,1126,3085070,3038230001,East New York (Pennsylvania Ave)                                           
